Country;City;Km (section);Km (cuml.);Connection
D;Aschaffenburg;99;265;E42
D;Würzburg;79;344;E45, E43
D;Stuttgart;145;489;E52
CH;Schaffhausen;170;659; 
CH;Winterthur;26;685;E60
CH;Zürich;25;710;E60
CH;Altdorf;78;788;E35
Country;City;Km (section);Km (cuml.);Connection
B;Nivelles;0;0; 
B;Charleroi;29;29;E42
F;Reims;158;187;E50, E17, E46
Country;City;Km (section);Km (cuml.);Connection
D;Aachen;0;0;E40, E314
B;Sankt-Vith;84;84;E42
L;Luxembourg;88;173;E25, E29, E44
Country;City;Km (section);Km (cuml.);Connection
D;Trier;0;0;E44
D;Saarbrücken;95;95;E50, E29
Country;City;Km (section);Km (cuml.);Connection
B;Tournai;0;0;E403
B;Halle;75;75; 
Country;City;Km (section);Km (cuml.);Connection
F;Dunkerque;0;0; 
F;Lille;71;71; 
B;Mons;77;149;E19
B;Charleroi;51;200;E420
B;Namur;41;241;E411
B;Liège;61;302;E25, E40, E46, E313
B;Sankt-Vith;87;389;E421
D;Wittlich;85;474; 
D;Bingen;91;565;E31
D;Wiesbaden;33;598; 
D;Frankfurt am Main;41;639;E35, E451
D;Aschaffenburg;41;680;E41
Country;City;Km (section);Km (cuml.);Connection
D;Würzburg;0;0;E45, E41
D;Ulm;195;195;E52
D;Lindau;119;314;E54
A;Bregenz;9;323; 
CH;Sankt Margrethen;13;336;E60
CH;Buchs;37;373; 
CH;Chur;44;417; 
CH;San Bernardino;70;487; 
CH;Bellinzona;43;530;E35
Country;City;Km (section);Km (cuml.);Connection
D;Chemnitz;0;0;E40
D;Plauen;76;76;E49
Country;City;Km (section);Km (cuml.);Connection
CZ;Karlovy Vary;0;0;E49, E48
CZ;Teplice;96;96;E55
CZ;Turnov;128;224;E65
CZ;Hradec Králové;76;300;E67
CZ;Olomouc;144;444;E462
SK;Åœilina;139;583;E75
Country;City;Km (section);Km (cuml.);Connection
F;Le Havre;0;0;E05
F;Amiens;178;178; 
F;Charleville-Mézières;198;376;E46
L via B;Luxembourg;153;529;E25, E29, E421
D;Trier;46;575;E422
D;Koblenz;126;701;E31
D;Gießen;106;807;E40, E41, E451
Country;City;Km (section);Km (cuml.);Connection
D;Gießen;0;0;E40, E41, E44
D;Frankfurt am Main;67;67;E35, E42
D;Mannheim;84;151;E50
Country;City;Km (section);Km (cuml.);Connection
S;Göteborg;0;0;E20, E06
DK;Frederikshavn;90;90; 
DK;Ålborg;65;155;E39
DK;Århus;121;276; 
DK;Vejle;69;344; 
DK;Kolding;31;376;E20
DK;Frøslev;80;455; 
D;Flensburg;8;463; 
D;Hamburg;158;620;E22, E26
D;Hannover;157;778;E30
D;Göttingen;124;902; 
D;Kassel;46;947;E331
D;Fulda;110;1057; 
D;Würzburg;110;1167;E41, E43
D;Nürnberg;118;1284;E50, E51, E56
D;München;165;1450;E53, E52, E54, E533, E552
D;Rosenheim;72;1522;E60
A;Wörgl;53;1575;E60, E641
A;Innsbruck;60;1635;E60, E533
A;Brennerpaß;36;1671; 
I;Passo di Brennero;0;1671; 
I;Fortezza;45;1716;E66
I;Bolzano;50;1766; 
I;Trento;57;1823; 
I;Verona;99;1922;E70
I;Modena;103;2025;E35
I;Bologna;42;2067; 
I;Cesena;95;2162;E55
I;Perugia;154;2316; 
I;Fiano Romana;148;2464; 
I;San Cesareo;64;2528;E821
I;Napoli;200;2728;E842
I;Salerno;57;2785;E841
I;Sicignano degli Alburni;65;2850;E847
I;Cosenza;222;3072;E846
I;Villa San Giovanni;177;3249; 
I;Messina;8;3256;E90
I;Catánia;98;3354;E932
I;Siracusa;66;3420; 
I;Gela;154;3573;E931
Country;City;Km (section);Km (cuml.);Connection
CZ;Svitavy;0;0; 
CZ;Brno;72;72;E65, E50, E462
A;Wien;141;213;E60, E49, E59, E58
Country;City;Km (section);Km (cuml.);Connection
CZ;Brno;0;0;E65, E50, E461
CZ;Olomouc;81;81;E442
CZ;Äesky TÄÅ¡in;114;195;E75
PL;Kraków;129;323;E40, E77
Country;City;Km (section);Km (cuml.);Connection
F;Cherbourg;0;0;E03
F;Caen;122;122;E401
F;Rouen;122;245;E402
F;Reims;244;489;E50, E17, E420
F;Charleville-Mézières;87;575;E44
B;Liège;178;753;E25, E40, E42, E313
Country;City;Km (section);Km (cuml.);Connection
UA;MukaÄevo;0;0;E50
UA;L'vov;207;207;E40, E372
Country;City;Km (section);Km (cuml.);Connection
S;Helsingborg;0;0;E55, E20, E04
DK;Helsingør;9;9;E55
DK;København;47;56;E55, E20
DK;Køge;45;101;E55, E20
DK;Vordingborg;60;160;E55
DK;Farø;11;172;E55
DK;Rødby;53;224; 
D;Lübeck;117;342;E22
Country;City;Km (section);Km (cuml.);Connection
D;Schweinfurt;0;0; 
D;Bayreuth;121;121;E51
D;Marktredwitz;49;169; 
CZ;Cheb;26;196; 
CZ;Karlovy Vary;43;239;E49, E442
CZ;Praha;126;366;E55, E65, E50, E59, E67
Country;City;Km (section);Km (cuml.);Connection
D;Magdeburg;0;0;E30
D;Halle;86;86; 
D;Plauen;161;247;E441
D;Schönberg;44;292; 
CZ;Vojtanov;3;295; 
CZ;Karlovy Vary;52;346;E48, E442
CZ;PlzeÅ;73;419;E50, E53
CZ;ÄeskÃ© BudÄjovice;137;557;E55, E551
CZ;TÅeboÅ;27;583;Â 
CZ;Halámky;25;608; 
A;Wien;151;759;E60, E59, E58, E461
Country;City;Km (section);Km (cuml.);Connection
F;Le Mans;0;0;E50, E402, E502
F;Angers;97;97; 
Country;City;Km (section);Km (cuml.);Connection
F;Le Mans;0;0;E50, E402, E501
F;Tours;82;82;E05, E60, E604
Country;City;Km (section);Km (cuml.);Connection
F;Brest;0;0;E60
F;Rennes;245;245;E03
F;Le Mans;151;395;E402, E501, E502
F;Paris;203;598;E05, E15, E19, E54
F;Reims;145;743;E17, E46, E420
F;Metz;190;933;E25, E21, E23, E411
D;Saarbrücken;71;1004;E29, E422
D;Mannheim;135;1138;E451
D;Heilbronn;80;1218; 
D;Nürnberg;166;1385;E45, E51, E56
CZ;Rozvadov;134;1519; 
CZ;PlzeÅ;65;1584;E49, E53
CZ;Praha;93;1678;E55, E65, E59, E67, E48
